test,curve,x,y
"Microphysics Kernel","Kt_over_sig2",0.9450000000000003,0.06720551273974969
"Microphysics Kernel","Kt_over_sig2",0.9624999999999999,0.06392786120670757
"Microphysics Kernel","Kt_over_sig2",0.98,0.06081006262521795
"Microphysics Kernel","Kt_over_sig2",0.9975,0.05784432087483843
"Microphysics Kernel","Kt_over_sig2",1.0150000000000001,0.05502322005640721
"Microphysics Kernel","Kt_over_sig2",1.0325000000000002,0.05233970594843236
"Microphysics Kernel","Kt_over_sig2",1.0500000000000003,0.049787068367863896
"Microphysics Kernel","Kt_over_sig2",1.0675000000000003,0.047358924391140866
"Microphysics Kernel","Kt_over_sig2",1.085,0.0450492023935578
"Microphysics Kernel","Kt_over_sig2",1.1025,0.042852126867040166
"Microphysics Kernel","Kt_over_sig2",1.1199999999999997,0.040762203978366246
"Microphysics Kernel","Kt_over_sig2",1.1374999999999997,0.03877420783172203
"Microphysics Kernel","Kt_over_sig2",1.1549999999999998,0.036883167401240015
"Microphysics Kernel","Kt_over_sig2",1.1724999999999999,0.03508435410084504
"Microphysics Kernel","Kt_over_sig2",1.19,0.03337326996032608
"Microphysics Kernel","Kt_over_sig2",1.2075,0.03174563637806794
"Microphysics Kernel","Kt_over_sig2",1.225,0.030197383422318487
"Microphysics Kernel","Kt_over_sig2",1.2424999999999997,0.028724639654239447
"Microphysics Kernel","Kt_over_sig2",1.2599999999999998,0.027323722447292573
"Microphysics Kernel","Kt_over_sig2",1.2774999999999999,0.025991128778755347
"Microphysics Kernel","Kt_over_sig2",1.295,0.024723526470339388
"Microphysics Kernel","Kt_over_sig2",1.3125,0.023517745856009097
"Microphysics Kernel","Kt_over_sig2",1.33,0.02237077185616559
"Microphysics Kernel","Kt_over_sig2",1.3475000000000001,0.021279736438377158
"Microphysics Kernel","Kt_over_sig2",1.3650000000000002,0.020241911445804374
"Microphysics Kernel","Kt_over_sig2",1.3825000000000003,0.019254701775386903
"Microphysics Kernel","Kt_over_sig2",1.4,0.01831563888873418
"Microphysics Kernel","Kt_over_sig2",1.4175,0.017422374639493515
"Microphysics Kernel","Kt_over_sig2",1.435,0.016572675401761237
"Microphysics Kernel","Kt_over_sig2",1.4525000000000001,0.015764416484854486
"Microphysics Kernel","Kt_over_sig2",1.4700000000000002,0.01499557682047769
"Microphysics Kernel","Kt_over_sig2",1.4875000000000003,0.014264233908999242
"Microphysics Kernel","Kt_over_sig2",1.5050000000000003,0.01356855901220091
"Microphysics Kernel","Kt_over_sig2",1.5225,0.012906812580479862
"Microphysics Kernel","Kt_over_sig2",1.54,0.012277339903068438
"Microphysics Kernel","Kt_over_sig2",1.5574999999999997,0.011678566970395453
"Microphysics Kernel","Kt_over_sig2",1.5749999999999997,0.011108996538242316
"Microphysics Kernel","Kt_over_sig2",1.5924999999999998,0.010567204383852655
"Microphysics Kernel","Kt_over_sig2",1.6099999999999999,0.010051835744633586
"Microphysics Kernel","Kt_over_sig2",1.6275,0.009561601930543505
"Microphysics Kernel","Kt_over_sig2",1.645,0.009095277101695816
"Microphysics Kernel","Kt_over_sig2",1.6625,0.008651695203120627
"Microphysics Kernel","Kt_over_sig2",1.6799999999999997,0.00822974704902003
"Microphysics Kernel","Kt_over_sig2",1.6974999999999998,0.007828377549225773
"Microphysics Kernel","Kt_over_sig2",1.7149999999999999,0.007446583070924344
"Microphysics Kernel","Kt_over_sig2",1.7325,0.0070834089290521185
"Microphysics Kernel","Kt_over_sig2",1.75,0.006737946999085467
"Microphysics Kernel","Kr_over_sig2",0,1
"Microphysics Kernel","Kr_over_sig2",0.048,0.9998000199986667
"Microphysics Kernel","Kr_over_sig2",0.096,0.9992003199146837
"Microphysics Kernel","Kr_over_sig2",0.144,0.9982016190284373
"Microphysics Kernel","Kr_over_sig2",0.192,0.9968051145430329
"Microphysics Kernel","Kr_over_sig2",0.24,0.9950124791926823
"Microphysics Kernel","Kr_over_sig2",0.288,0.9928258579038134
"Microphysics Kernel","Kr_over_sig2",0.336,0.9902478635182347
"Microphysics Kernel","Kr_over_sig2",0.384,0.9872815715902905
"Microphysics Kernel","Kr_over_sig2",0.432,0.9839305142725083
"Microphysics Kernel","Kr_over_sig2",0.48,0.9801986733067553
"Microphysics Kernel","Kr_over_sig2",0.528,0.9760904721403703
"Microphysics Kernel","Kr_over_sig2",0.576,0.9716107671891228
"Microphysics Kernel","Kr_over_sig2",0.624,0.9667648382711531
"Microphysics Kernel","Kr_over_sig2",0.672,0.9615583782382694
"Microphysics Kernel","Kr_over_sig2",0.72,0.9559974818331
"Microphysics Kernel","Kr_over_sig2",0.768,0.9500886338026269
"Microphysics Kernel","Kr_over_sig2",0.8160000000000001,0.9438386963005431
"Microphysics Kernel","Kr_over_sig2",0.864,0.9372548956126776
"Microphysics Kernel","Kr_over_sig2",0.9119999999999999,0.9303448082414207
"Microphysics Kernel","Kr_over_sig2",0.96,0.9231163463866358
"Microphysics Kernel","Kr_over_sig2",1.008,0.9155777428619776
"Microphysics Kernel","Kr_over_sig2",1.056,0.9077375354868296
"Microphysics Kernel","Kr_over_sig2",1.104,0.8996045509952315
"Microphysics Kernel","Kr_over_sig2",1.152,0.8911878885041844
"Microphysics Kernel","Kr_over_sig2",1.2,0.8824969025845955
"Microphysics Kernel","Kr_over_sig2",1.248,0.8735411859788501
"Microphysics Kernel","Kr_over_sig2",1.296,0.864330552009586
"Microphysics Kernel","Kr_over_sig2",1.344,0.8548750167246695
"Microphysics Kernel","Kr_over_sig2",1.392,0.8451847808236714
"Microphysics Kernel","Kr_over_sig2",1.44,0.835270211411272
"Microphysics Kernel","Kr_over_sig2",1.488,0.825141823623021
"Microphysics Kernel","Kr_over_sig2",1.536,0.8148102621687294
"Microphysics Kernel","Kr_over_sig2",1.584,0.804286282838474
"Microphysics Kernel","Kr_over_sig2",1.6320000000000001,0.7935807340157668
"Microphysics Kernel","Kr_over_sig2",1.68,0.7827045382418683
"Microphysics Kernel","Kr_over_sig2",1.728,0.7716686738745262
"Microphysics Kernel","Kr_over_sig2",1.776,0.7604841568835895
"Microphysics Kernel","Kr_over_sig2",1.8239999999999998,0.7491620228249928
"Microphysics Kernel","Kr_over_sig2",1.8719999999999999,0.7377133090335346
"Microphysics Kernel","Kr_over_sig2",1.92,0.7261490370736909
"Microphysics Kernel","Kr_over_sig2",1.9679999999999997,0.7144801954864035
"Microphysics Kernel","Kr_over_sig2",2.016,0.7027177228683976
"Microphysics Kernel","Kr_over_sig2",2.064,0.6908724913190898
"Microphysics Kernel","Kr_over_sig2",2.112,0.6789552902885679
"Microphysics Kernel","Kr_over_sig2",2.16,0.6669768108584744
"Microphysics Kernel","Kr_over_sig2",2.208,0.6549476304858831
"Microphysics Kernel","Kr_over_sig2",2.256,0.6428781982384721
"Microphysics Kernel","Kr_over_sig2",2.304,0.6307788205474283
"Microphysics Kernel","Kr_over_sig2",2.352,0.6186596475026225
"Microphysics Kernel","Kr_over_sig2",2.4,0.6065306597126334
"Microphysics Kernel","Kr_over_sig2",2.448,0.5944016557502186
"Microphysics Kernel","Kr_over_sig2",2.496,0.5822822402018133
"Microphysics Kernel","Kr_over_sig2",2.544,0.570181812337605
"Microphysics Kernel","Kr_over_sig2",2.592,0.5581095554166826
"Microphysics Kernel","Kr_over_sig2",2.64,0.5460744266397094
"Microphysics Kernel","Kr_over_sig2",2.688,0.534085147759517
"Microphysics Kernel","Kr_over_sig2",2.7359999999999998,0.5221501963579799
"Microphysics Kernel","Kr_over_sig2",2.784,0.5102777977955038
"Microphysics Kernel","Kr_over_sig2",2.832,0.49847591783746603
"Microphysics Kernel","Kr_over_sig2",2.88,0.4867522559599717
"Microphysics Kernel","Kr_over_sig2",2.928,0.4751142393353591
"Microphysics Kernel","Kr_over_sig2",2.976,0.4635690174959985
"Microphysics Kernel","Kr_over_sig2",3.024,0.4521234576730829
"Microphysics Kernel","Kr_over_sig2",3.072,0.4407841408053245
"Microphysics Kernel","Kr_over_sig2",3.12,0.4295573582107391
"Microphysics Kernel","Kr_over_sig2",3.168,0.4184491089130354
"Microphysics Kernel","Kr_over_sig2",3.216,0.4074650976125276
"Microphysics Kernel","Kr_over_sig2",3.2640000000000002,0.3966107332899649
"Microphysics Kernel","Kr_over_sig2",3.312,0.38589112843021894
"Microphysics Kernel","Kr_over_sig2",3.36,0.37531109885139957
"Microphysics Kernel","Kr_over_sig2",3.408,0.3648751641236792
"Microphysics Kernel","Kr_over_sig2",3.456,0.354587548560899
"Microphysics Kernel","Kr_over_sig2",3.504,0.3444521827669091
"Microphysics Kernel","Kr_over_sig2",3.552,0.33447270571756393
"Microphysics Kernel","Kr_over_sig2",3.5999999999999996,0.3246524673583498
"Microphysics Kernel","Kr_over_sig2",3.6479999999999997,0.3149945316967634
"Microphysics Kernel","Kr_over_sig2",3.6959999999999997,0.3055016803678051
"Microphysics Kernel","Kr_over_sig2",3.7439999999999998,0.2961764166502668
"Microphysics Kernel","Kr_over_sig2",3.792,0.2870209699109174
"Microphysics Kernel","Kr_over_sig2",3.84,0.27803730045319414
"Microphysics Kernel","Kr_over_sig2",3.888,0.26922710474659955
"Microphysics Kernel","Kr_over_sig2",3.9359999999999995,0.26059182101268924
"Microphysics Kernel","Kr_over_sig2",3.9839999999999995,0.2521326351433002
"Microphysics Kernel","Kr_over_sig2",4.032,0.24385048692652458
"Microphysics Kernel","Kr_over_sig2",4.08,0.23574607655586352
"Microphysics Kernel","Kr_over_sig2",4.128,0.22781987139800902
"Microphysics Kernel","Kr_over_sig2",4.176,0.22007211299479584
