galaxy,n,chi2_bary,redchi2_bary,chi2_qds,redchi2_qds,improve_pct,v0,lam,out_csv
NGC3992,9,591.917,65.7686,8.03825,1.14832,98.254,187.586,17.048,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC3992_QDS_bestfit.csv
NGC4010,12,155.132,12.9277,35.2086,3.52086,72.765,258,28.6416,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC4010_QDS_bestfit.csv
NGC4013,36,2146.49,59.6246,604.316,17.774,70.190,249.565,40,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC4013_QDS_bestfit.csv
NGC4051,7,104.705,14.9579,104.705,20.9411,-40.000,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC4051_QDS_bestfit.csv
NGC4068,6,27.2257,4.53761,5.40405,1.35101,70.226,81.9836,7.06207,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC4068_QDS_bestfit.csv
NGC4085,7,219.178,31.3112,219.178,43.8356,-40.000,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC4085_QDS_bestfit.csv
NGC4088,12,619.007,51.5839,619.007,61.9007,-20.000,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC4088_QDS_bestfit.csv
NGC4100,24,538.952,22.4563,57.1109,2.59595,88.440,147.931,13.9241,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC4100_QDS_bestfit.csv
NGC4138,7,29.0065,4.14379,14.0859,2.81717,32.015,278.7,39.7969,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC4138_QDS_bestfit.csv
NGC4157,17,360.664,21.2155,318.814,21.2543,-0.183,176.378,40,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC4157_QDS_bestfit.csv
NGC4183,23,799.645,34.7672,8.87369,0.422557,98.785,83.6913,3.32388,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC4183_QDS_bestfit.csv
NGC4214,14,354.115,25.2939,10.6619,0.88849,96.487,76.2855,1.63777,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC4214_QDS_bestfit.csv
NGC4217,19,1595.29,83.9629,1595.29,93.8409,-11.765,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC4217_QDS_bestfit.csv
NGC4389,6,479.215,79.8691,479.215,119.804,-50.000,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC4389_QDS_bestfit.csv
NGC4559,32,789.706,24.6783,84.7125,2.82375,88.558,180.482,26.7987,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC4559_QDS_bestfit.csv
NGC5005,18,251.416,13.9676,251.416,15.7135,-12.500,0,0.2,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC5005_QDS_bestfit.csv
NGC5033,22,8013.52,364.251,349.861,17.493,95.198,159.458,10.1859,/data/data/com.termux/files/home/OMEGA_EMPIRE/UV_QDS/data/rotmods_rc/qds_fit_out_flatboost_20251213_003324/NGC5033_QDS_bestfit.csv
